Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
Node_136	170	140	30	11	5194	464770	4.666667	0.366667	2196559	1754173
Node_137	463	368	95	16	14112	454299	3.873684	0.168421	2203677	1787862
Node_138	1420	1257	163	37	44108	426266	7.711657	0.226994	2204884	1848019
Node_139	191	98	93	12	19693	391871	1.053763	0.129032	2207072	1821123
Node_140	397	275	122	20	24894	434806	2.254098	0.163934	2192082	1769537
Node_141	38	13	25	3	92	428886	0.520000	0.120000	2197301	1776626
Node_142	64	36	28	6	3618	426100	1.285714	0.214286	2204115	1783814
Node_143	1	0	1	0	0	521791	0.000000	0.000000	2191605	1679296
Node_144	153	114	39	11	20659	521791	2.923077	0.282051	2192334	1694474
Node_145	1444	1240	204	46	45913	507099	6.078432	0.225490	2199408	1782578
Node_146	24	14	10	4	92	424903	1.400000	0.400000	2219489	1799336
Node_147	369	252	117	22	30068	440305	2.153846	0.188034	2208760	1791298
Node_148	436	323	113	26	35917	422039	2.858407	0.230089	2222086	1832472
Node_149	218	120	98	11	14393	391229	1.224490	0.112245	2223625	1841132
Node_150	189	151	38	10	6444	535172	3.973684	0.263158	2195831	1687780
Node_151	404	331	73	21	16887	553990	4.534246	0.287671	2188705	1682197
Node_152	438	371	67	24	25814	522356	5.537313	0.358209	2204219	1744533
Node_153	791	679	112	35	40514	470128	6.062500	0.312500	2206675	1782932
Node_154	381	296	85	24	27794	432593	3.482353	0.282353	2214948	1824114
Node_155	1197	859	338	46	34028	527182	2.541420	0.136095	2182962	1734421
Node_156	617	433	184	32	37975	469062	2.353261	0.173913	2195421	1797390
Node_157	355	244	111	19	21368	411914	2.198198	0.171171	2210269	1827092
Node_158	125	79	46	11	14393	394062	1.717391	0.239130	2221288	1839732
Node_159	184	127	57	14	19693	383758	2.228070	0.245614	2224925	1859294
Node_160	716	525	191	32	27309	366820	2.748691	0.167539	2225546	1909230
Node_161	316	161	155	13	11048	317441	1.038710	0.083871	2225546	1929661
Node_162	418	222	196	22	18434	296834	1.132653	0.112245	2225547	1950894
Node_163	183	133	50	14	2759	345255	2.660000	0.280000	2204819	1890902
Node_164	2026	1342	684	64	39374	319953	1.961988	0.093567	2208869	1937687
Node_165	203	109	94	10	2756	275549	1.159575	0.106383	2225701	1966442
Node_166	477	408	69	26	20642	425280	5.913043	0.376812	2183551	1831976
Node_167	77	46	31	6	137	359865	1.483871	0.193548	2189986	1853311
Node_168	298	206	92	17	8059	344355	2.239130	0.184783	2199705	1867656
Node_169	341	188	153	19	13260	336252	1.228758	0.124183	2201686	1897489
Node_170	977	606	371	50	29860	308237	1.633423	0.134771	2205147	1929976
Node_171	738	486	252	27	24477	278333	1.928571	0.107143	2212920	1955061
Node_172	544	323	221	34	28280	260155	1.461538	0.153846	2226235	2002434
Node_173	843	763	80	32	24402	447650	9.537500	0.400000	2124886	1715263
Node_174	530	438	92	23	19635	426116	4.760870	0.250000	2133775	1755866
Node_175	146	123	23	10	2705	476631	5.347826	0.434783	2178872	1714607
Node_176	233	210	23	7	137	482638	9.130435	0.304348	2116372	1661527
Node_177	41	28	13	4	0	479169	2.153846	0.307692	2134533	1680590
Node_178	418	374	44	23	14492	475047	8.500000	0.522727	2195089	1733667
Node_179	1264	1076	188	47	29452	470023	5.723404	0.250000	2198913	1793537
Node_180	392	327	65	15	8008	411578	5.030769	0.230769	2203451	1816258
Node_181	793	676	117	33	25649	392717	5.777778	0.282051	2204952	1886046
Node_182	116	59	57	9	3245	321785	1.035088	0.157895	2206095	1893471
Node_183	419	312	107	20	14262	362134	2.915888	0.186916	2189598	1879622
Node_184	598	422	176	23	20688	315504	2.397727	0.130682	2213484	1949312
Node_185	451	258	193	17	9153	266396	1.336788	0.088083	2217867	1995183
Node_186	86	18	68	3	92	224586	0.264706	0.044118	2227634	2005417
Node_187	193	68	125	9	3337	222861	0.544000	0.072000	2227634	2016686
Node_188	1816	1732	84	43	35067	475721	20.619047	0.511905	2186977	1769440
Node_189	464	350	114	20	23312	428041	3.070175	0.175439	2198957	1835344
Node_190	1027	866	161	41	38123	430169	5.378882	0.254658	2133596	1776623
Node_191	1063	894	169	41	31790	371215	5.289941	0.242604	2204571	1924532
Node_192	630	372	258	27	25377	285248	1.441860	0.104651	2209408	1975782
Node_193	480	248	232	20	14354	238409	1.068966	0.086207	2211812	2003293
Node_194	128	24	104	5	92	211595	0.230769	0.048077	2227645	2017814
Node_195	253	70	183	8	1558	210481	0.382514	0.043716	2227645	2022056
Node_196	848	665	183	33	24274	440942	3.633880	0.180328	2166129	1804381
Node_197	149	119	30	12	9837	377160	3.966667	0.400000	2191318	1839248
Node_198	162	113	49	10	3557	361634	2.306123	0.204082	2195185	1850470
Node_199	758	603	155	32	23081	353700	3.890323	0.206452	2197387	1939028
Node_200	1824	1105	719	54	39022	266618	1.536857	0.075104	2200958	1988970
Node_201	1600	1100	500	49	32447	334905	2.200000	0.098000	2175582	1894871
Node_202	1711	1240	471	64	47766	401777	2.632696	0.135881	2119374	1818555
Node_203	671	468	203	36	29984	323094	2.305419	0.177340	2129383	1864256
Node_204	354	208	146	16	8051	287020	1.424658	0.109589	2199930	1946836
Node_205	614	418	196	33	30453	255993	2.132653	0.168367	2203148	1982188
Node_206	302	274	28	9	2192	415234	9.785714	0.321429	2176380	1774090
Node_207	30	25	5	4	0	410052	5.000000	0.800000	2179672	1776706
Node_208	107	88	19	11	2708	409840	4.631579	0.578947	2184472	1782690
Node_209	24	13	11	3	0	407947	1.181818	0.272727	2188596	1784773
Node_210	483	423	60	19	19296	407667	7.050000	0.316667	2190356	1824515
Node_211	199	176	23	8	462	369251	7.652174	0.347826	2192673	1842981
Node_212	3	0	3	0	0	352910	0.000000	0.000000	2197671	1847896
Node_213	227	194	33	12	8008	352910	5.878788	0.363636	2198074	1860811
Node_214	2210	1616	594	77	65885	340337	2.720539	0.129630	2199543	1919180
Node_215	522	303	219	25	20743	282709	1.383562	0.114155	2208109	1987116
Node_216	154	69	85	7	1282	223179	0.811765	0.082353	2218202	2000999
Node_217	213	122	91	17	9104	218368	1.340659	0.186813	2220059	2014859
Node_218	237	96	141	14	7389	206241	0.680851	0.099291	2227848	2028431
Node_219	1158	748	410	41	36537	271159	1.824390	0.100000	2128192	1939273
Node_220	525	283	242	22	17205	301646	1.169421	0.090909	2115947	1883202
Node_221	389	312	77	25	17365	482608	4.051948	0.324675	2118567	1674957
Node_222	2063	1639	424	63	42950	541248	3.865566	0.148585	2183123	1731461
Node_223	489	376	113	27	22429	466589	3.327434	0.238938	2196555	1770405
Node_224	885	718	167	42	34820	434278	4.299401	0.251497	2200670	1829484
Node_225	496	365	131	25	17365	376708	2.786260	0.190840	2204366	1878156
Node_226	1259	1088	171	44	34734	523429	6.362573	0.257310	2167249	1753966
Node_227	243	196	47	12	10808	429560	4.170213	0.255319	2181808	1778102
Node_228	97	74	23	11	5508	413898	3.217391	0.478261	2186277	1785032
Node_229	1171	938	233	46	30942	613840	4.025751	0.197425	2162920	1641526
Node_230	706	563	143	33	23432	540800	3.937063	0.230769	2173829	1694899
Node_231	577	484	93	23	17261	493901	5.204301	0.247312	2186373	1737442
Node_232	683	551	132	32	27340	459832	4.174242	0.242424	2195620	1792719
Node_233	226	170	56	16	10808	410528	3.035714	0.285714	2202271	1809800
Node_234	458	377	81	24	17261	398459	4.654321	0.296296	2206355	1844238
Node_235	376	281	95	20	16009	398677	2.957895	0.210526	2172672	1816261
Node_236	48	16	32	3	0	366787	0.500000	0.093750	2206862	1844909
Node_237	436	267	169	20	16101	366613	1.579882	0.118343	2208088	1881240
Node_238	1548	1169	379	63	45931	331105	3.084433	0.166227	2212874	1960879
Node_239	317	201	116	18	12062	254061	1.732759	0.155172	2213982	1974433
Node_240	1987	1326	661	70	55207	314159	2.006052	0.105900	2112229	1890628
Node_241	209	87	122	11	1561	241617	0.713115	0.090164	2216988	1994676
Node_242	572	357	215	30	29108	223880	1.660465	0.139535	2217317	2014999
Node_243	187	87	100	13	7389	203896	0.870000	0.130000	2217746	2019313
Node_244	201	62	139	8	1558	200007	0.446043	0.057554	2228120	2033350
Node_245	2228	1545	683	68	39173	370889	2.262079	0.099561	2131585	1883474
Node_246	608	317	291	25	26155	262082	1.089347	0.085911	2141467	1923572
Node_247	586	381	205	24	26143	302030	1.858537	0.117073	2118966	1894582
Node_248	748	617	131	24	24631	438204	4.709924	0.183206	2117625	1765531
Node_249	1513	1286	227	56	42007	478608	5.665198	0.246696	2108297	1744901
Node_250	195	151	44	8	12399	384152	3.431818	0.181818	2182508	1819021
Node_251	454	389	65	24	14048	372319	5.984615	0.369231	2188627	1872854
Node_252	58	25	33	4	92	323760	0.757576	0.121212	2192000	1875133
Node_253	153	63	90	8	1813	323757	0.700000	0.088889	2206133	1890721
Node_254	437	343	94	27	17334	399206	3.648936	0.287234	2131895	1784005
Node_255	830	626	204	31	18931	406561	3.068627	0.151961	2197295	1839311
Node_256	914	703	211	40	26197	363104	3.331753	0.189573	2205805	1890721
Node_257	281	181	100	21	18343	318741	1.810000	0.210000	2212853	1925359
Node_258	1098	879	219	45	31871	354300	4.013699	0.205479	2136227	1863688
Node_259	1538	968	570	63	42858	289951	1.698246	0.110526	2216437	1981270
Node_260	243	113	130	12	7306	237445	0.869231	0.092308	2216606	1987668
Node_261	614	372	242	33	33923	231194	1.537190	0.136364	2218495	2011044
Node_262	461	254	207	24	17997	320079	1.227053	0.115942	2131366	1860048
Node_263	945	573	372	38	21331	326630	1.540323	0.102151	2126274	1851129
Node_264	221	102	119	13	6370	298757	0.857143	0.109244	2132822	1863379
Node_265	277	120	157	13	6370	291771	0.764331	0.082803	2150149	1878742
Node_266	432	281	151	21	11414	380656	1.860927	0.139073	2168868	1841708
Node_267	1487	932	555	47	30476	339262	1.679279	0.084685	2177929	1876164
Node_268	553	340	213	26	28838	311970	1.596244	0.122066	2200749	1917064
Node_269	306	164	142	20	18424	291418	1.154930	0.140845	2215122	1950566
Node_270	537	330	207	28	29604	266194	1.594203	0.135266	2215220	1993458
Node_271	534	284	250	21	17426	284536	1.136000	0.084000	2137094	1899930
Node_272	1892	1155	737	58	37871	305259	1.567164	0.078697	2132807	1881258
Node_273	412	207	205	21	17426	272690	1.009756	0.102439	2141977	1904597
Node_274	687	410	277	33	32818	257079	1.480144	0.119134	2154753	1947594
Node_275	194	66	128	10	2516	223380	0.515625	0.078125	2220790	2012798
Node_276	394	171	223	16	9212	209310	0.766816	0.071749	2224613	2030595
Node_277	403	200	203	19	14413	195250	0.985222	0.093596	2228936	2057018
Node_278	3	0	3	0	0	341784	0.000000	0.000000	2091523	1766202
Node_279	2448	1818	630	76	41821	341784	2.885714	0.120635	2093584	1843442
Node_280	299	233	66	20	13035	299542	3.530303	0.303030	2178782	1915118
Node_281	187	148	39	12	7742	323732	3.794872	0.307692	2174128	1888268
Node_282	89	59	30	6	137	292251	1.966667	0.200000	2179441	1901823
Node_283	60	36	24	6	137	295217	1.500000	0.250000	2098873	1827921
Node_284	34	21	13	3	0	283437	1.615385	0.230769	2185459	1909583
Node_285	522	379	143	22	18209	280874	2.650350	0.153846	2190468	1924051
Node_286	282	145	137	14	7834	271049	1.058394	0.102190	2197451	1936674
Node_287	737	507	230	40	32187	265206	2.204348	0.173913	2198086	1979871
Node_288	83	39	44	8	1558	222437	0.886364	0.181818	2199169	1982686
Node_289	1477	703	774	60	58230	220406	0.908269	0.077519	2212995	2008947
Node_290	672	374	298	34	37667	207179	1.255034	0.114094	2216620	2037649
Node_291	1187	715	472	45	36636	274940	1.514830	0.095339	2194550	1962674
Node_292	851	447	404	34	34164	240968	1.106436	0.084158	2204256	2014242
Node_293	409	167	242	19	14791	196199	0.690083	0.078512	2207836	2031380
Node_294	411	177	234	21	20043	181776	0.756410	0.089744	2220209	2050102
Node_295	318	128	190	15	9212	172241	0.673684	0.078947	2229001	2074402
Node_296	73	51	22	8	1558	300601	2.318182	0.363636	2130300	1858688
Node_297	487	389	98	22	21224	290939	3.969388	0.224490	2138976	1891516
Node_298	102	64	38	6	229	331234	1.684211	0.157895	2175547	1861652
Node_299	187	121	66	17	15992	347583	1.833333	0.257576	2116337	1814990
Node_300	253	169	84	10	3978	329537	2.011905	0.119048	2191332	1879231
Node_301	900	529	371	40	32757	360480	1.425876	0.107817	2127522	1827388
Node_302	112	41	71	4	92	328318	0.577465	0.056338	2136213	1836214
Node_303	692	582	110	27	23758	324135	5.290909	0.245455	2203432	1945023
Node_304	391	216	175	20	21489	266196	1.234286	0.114286	2210779	1953722
Node_305	168	40	128	9	3465	262252	0.312500	0.070312	2210832	1953975
Node_306	282	143	139	18	21002	262048	1.028777	0.129496	2211446	1967233
Node_307	993	650	343	42	45892	249112	1.895044	0.122449	2213188	2021008
Node_308	472	224	248	21	23882	196149	0.903226	0.084677	2213847	2039134
Node_309	733	428	305	32	34109	266142	1.403279	0.104918	2135234	1932535
Node_310	449	216	233	26	33501	217099	0.927039	0.111588	2140422	1956102
Node_311	1261	900	361	51	36016	376987	2.493075	0.141274	2109800	1815177
Node_312	1443	1081	362	52	36016	376280	2.986188	0.143646	2114394	1820540
Node_313	1973	1472	501	71	57712	323345	2.938124	0.141717	2128596	1898875
Node_314	722	474	248	34	41183	250434	1.911290	0.137097	2198093	2010843
Node_315	525	274	251	23	25165	197789	1.091633	0.091633	2209709	2037970
Node_316	534	217	317	21	20043	178690	0.684543	0.066246	2218166	2066390
Node_317	579	202	377	22	19141	154932	0.535809	0.058355	2229006	2094499
Node_318	397	142	255	18	16248	134676	0.556863	0.070588	2229125	2109446
Node_319	1016	628	388	41	39987	276378	1.618557	0.105670	2177231	1970803
Node_320	521	294	227	31	36991	217551	1.295154	0.136564	2194081	2035840
Node_321	438	135	303	17	11089	164970	0.445545	0.056106	2199222	2055315
Node_322	294	168	126	12	10573	254255	1.333333	0.095238	2115757	1886488
Node_323	97	85	12	3	92	407839	7.083333	0.250000	2101674	1716312
Node_324	675	562	113	25	26752	405318	4.973451	0.221239	2106370	1813276
Node_325	210	133	77	14	10570	308924	1.727273	0.181818	2118154	1842787
Node_326	413	357	56	19	15771	415864	6.375000	0.339286	2170991	1794521
Node_327	83	59	24	8	4742	394095	2.458333	0.333333	2180808	1806628
Node_328	53	47	6	5	92	390915	7.833333	0.833333	2188850	1813853
Node_329	100	74	26	6	229	390049	2.846154	0.230769	2191381	1837159
Node_330	28	4	24	1	0	367783	0.166667	0.041667	2192511	1838619
Node_331	248	190	58	16	10570	367081	3.275862	0.275862	2195984	1859931
Node_332	1120	788	332	45	37951	348870	2.373494	0.135542	2199209	1920208
Node_333	539	392	147	30	34010	289674	2.666667	0.204082	2201441	1965257
Node_334	618	367	251	27	33985	243798	1.462151	0.107570	2205377	2011178
Node_335	1991	1117	874	74	75935	200203	1.278032	0.084668	2205951	2061563
Node_336	778	351	427	31	33416	149796	0.822014	0.072600	2212618	2097139
Node_337	586	234	352	21	14653	119860	0.664773	0.059659	2229126	2137077
Node_338	734	281	453	32	33990	151055	0.620309	0.070640	2133763	2014888
Node_339	450	184	266	17	3075	124252	0.691729	0.063910	2140261	2038612
Node_340	334	110	224	14	6441	104021	0.491071	0.062500	2200097	2109674
Node_341	669	333	336	34	37209	92237	0.991071	0.101190	2229127	2176824
Node_342	1702	819	883	63	64397	178698	0.927520	0.071348	2117874	2001831
Node_343	433	188	245	16	17664	264041	0.767347	0.065306	2161291	1940810
Node_344	747	386	361	30	27454	232712	1.069252	0.083102	2183845	1986175
Node_345	208	116	92	14	11338	316515	1.260870	0.152174	2147071	1855031
Node_346	845	498	347	32	24870	301491	1.435158	0.092219	2161631	1919676
Node_347	1395	969	426	54	42560	336325	2.274648	0.126761	2150640	1894090
Node_348	475	281	194	20	13788	270688	1.448454	0.103093	2173977	1934269
Node_349	283	142	141	13	11320	249369	1.007092	0.092199	2190431	1961949
Node_350	567	248	319	27	26907	233403	0.777429	0.084639	2196998	1996620
Node_351	899	444	455	32	17826	204151	0.975824	0.070330	2203580	2035151
Node_352	1984	1157	827	69	78168	263643	1.399033	0.083434	2158096	1980294
Node_353	576	206	370	26	17085	189301	0.556757	0.070270	2170630	2009497
Node_354	361	152	209	19	10212	170224	0.727273	0.090909	2205303	2055683
Node_355	437	180	257	21	16086	151420	0.700389	0.081712	2206634	2079678
Node_356	660	242	418	24	46935	128767	0.578947	0.057416	2214590	2111344
Node_357	2878	1337	1541	87	104613	164861	0.867618	0.056457	2168367	2071682
Node_358	1006	493	513	41	50453	104747	0.961014	0.079922	2215429	2164063
Node_359	545	179	366	22	32175	52512	0.489071	0.060109	2229127	2195430
Node_360	317	246	71	15	9749	361262	3.464789	0.211268	2165796	1859611
Node_361	1291	947	344	52	66776	317189	2.752907	0.151163	2177678	1957429
Node_362	400	203	197	18	19947	228107	1.030457	0.091371	2183261	1989662
Node_363	322	144	178	13	10610	199853	0.808989	0.073034	2185581	2009205
Node_364	989	503	486	45	52047	182046	1.034979	0.092593	2192880	2046677
Node_365	531	176	355	15	9001	151201	0.495775	0.042254	2196070	2058600
Node_366	1098	623	475	44	52158	195015	1.311579	0.092632	2170087	2038723
Node_367	1983	1067	916	81	95369	141053	1.164847	0.088428	2201665	2139295
Node_368	564	351	213	29	34538	334997	1.647887	0.136150	2163740	1904861
Node_369	353	231	122	15	17509	364141	1.893443	0.122951	2175421	1864000
Node_370	930	668	262	42	35901	324865	2.549618	0.160305	2182946	1921313
Node_371	632	283	349	21	25944	271986	0.810888	0.060172	2188285	1958871
Node_372	2390	1554	836	71	69973	394855	1.858852	0.084928	2163576	1833559
Node_373	392	268	124	20	20848	412307	2.161290	0.161290	2148333	1795251
Node_374	398	249	149	17	20848	411401	1.671141	0.114094	2145053	1791466
Node_375	2095	1257	838	74	80191	377404	1.500000	0.088305	2156554	1828311
Node_376	360	217	143	28	40318	349029	1.517483	0.195804	2184977	1864388
Node_377	178	77	101	11	20720	333769	0.762376	0.108911	2189527	1871288
Node_378	1652	1186	466	66	37084	557980	2.545064	0.141631	2161884	1659425
Node_379	191	87	104	15	8467	524997	0.836538	0.144231	2167538	1668756
Node_380	257	171	86	18	8467	520028	1.988372	0.209302	2171062	1679108
Node_381	388	283	105	26	13053	512347	2.695238	0.247619	2173973	1726982
Node_382	299	186	113	20	8467	532662	1.646018	0.176991	2156907	1652343
Node_383	38	9	29	3	114	528962	0.310345	0.103448	2165810	1660275
Node_384	710	522	188	37	14794	528626	2.776596	0.196809	2170028	1720724
Node_385	138	90	48	7	1007	470332	1.875000	0.145833	2172226	1726284
Node_386	896	663	233	42	16370	465462	2.845494	0.180258	2186644	1756734
Node_387	495	335	160	29	25136	445413	2.093750	0.181250	2188190	1775058
Node_388	1424	1046	378	60	60256	427382	2.767196	0.158730	2189264	1828550
Node_389	240	138	102	13	19885	374301	1.352941	0.127451	2191842	1841670
Node_390	591	317	274	29	37867	417358	1.156934	0.105839	2162986	1788706
Node_391	480	254	226	30	38006	392397	1.123894	0.132743	2182583	1834192
Node_392	677	419	258	38	45222	362439	1.624031	0.147287	2196364	1877750
Node_393	343	184	159	15	36395	329934	1.157233	0.094340	2204913	1898249
Node_394	531	311	220	25	37548	312881	1.413636	0.113636	2206650	1950773
Node_395	375	193	182	19	23781	260633	1.060440	0.104396	2206982	1972342
Node_396	865	519	346	40	54103	239165	1.500000	0.115607	2207378	2032404
Node_397	881	459	422	33	56039	179271	1.087678	0.078199	2207470	2080088
Node_398	1331	705	626	55	65407	130602	1.126198	0.087859	2213655	2150016
Node_399	372	134	238	18	31023	65462	0.563025	0.075630	2220840	2180488
Node_400	216	138	78	12	7086	303904	1.769231	0.153846	2182964	1917584
Node_401	265	169	96	21	16901	275199	1.760417	0.218750	2198121	1974563
Node_402	743	493	250	25	18615	231157	1.972000	0.100000	2201525	2004827
Node_403	2366	1413	953	86	98811	203122	1.482686	0.090241	2205350	2059308
Node_404	1	0	1	0	0	406175	0.000000	0.000000	2140841	1753541
Node_405	5	3	2	1	0	406175	1.500000	0.500000	2144515	1756860
Node_406	18	11	7	2	0	406133	1.571429	0.285714	2146579	1758493
Node_407	705	593	112	28	3694	406133	5.294643	0.250000	2147142	1783850
Node_408	370	333	37	17	1020	397372	9.000000	0.459459	2144355	1782334
Node_409	44	29	15	4	0	378511	1.933333	0.266667	2155633	1793457
Node_410	12	7	5	2	0	375848	1.400000	0.400000	2157893	1795671
Node_411	206	172	34	12	1020	375728	5.058824	0.352941	2159449	1821215
Node_412	208	159	49	12	1020	384645	3.244898	0.244898	2153940	1820033
Node_413	1125	956	169	40	9129	350923	5.656805	0.236686	2171024	1916436
Node_414	1878	1243	635	66	59531	264825	1.957480	0.103937	2174399	1969804
Node_415	509	248	261	27	31463	213241	0.950192	0.103448	2183112	2005848
Node_416	467	243	224	25	29578	185333	1.084821	0.111607	2186199	2021349
Node_417	986	457	529	36	35109	191618	0.863894	0.068053	2105679	1949349
Node_418	817	440	377	39	39086	171052	1.167109	0.103448	2191082	2047010
Node_419	553	259	294	23	27139	149902	0.880952	0.078231	2215927	2098084
Node_420	359	101	258	17	13060	119913	0.391473	0.065891	2215938	2110082
Node_421	1708	1044	664	59	52509	236507	1.572289	0.088855	2114348	1948952
Node_422	236	169	67	10	9017	434008	2.522388	0.149254	2112864	1715773
Node_423	31	11	20	3	0	421621	0.550000	0.150000	2123071	1724853
Node_424	340	242	98	19	14531	421149	2.469388	0.193878	2127522	1779783
Node_425	1670	1305	365	59	50382	367312	3.575342	0.161644	2129120	1878303
Node_426	645	524	121	34	26159	419475	4.330578	0.280992	2097098	1790889
Node_427	2296	1747	549	81	43735	398877	3.182149	0.147541	2100372	1782020
Node_428	215	147	68	16	14439	342024	2.161765	0.235294	2114213	1804420
Node_429	228	149	79	18	14439	331366	1.886076	0.227848	2122015	1824272
Node_430	282	195	87	16	14439	345156	2.241379	0.183908	2092995	1800365
Node_431	681	496	185	34	20093	317708	2.681081	0.183784	2130936	1881466
Node_432	422	243	179	22	22593	265917	1.357542	0.122905	2140305	1914991
Node_433	322	102	220	16	20315	237938	0.463636	0.072727	2201642	1974641
Node_434	593	311	282	27	21662	230579	1.102837	0.095745	2201671	2017704
Node_435	964	441	523	43	53561	186595	0.843212	0.082218	2211516	2062074
Node_436	1548	1052	496	65	36539	315372	2.120968	0.131048	2107547	1863988
Node_437	453	262	191	21	14287	264101	1.371728	0.109948	2120376	1906731
Node_438	359	207	152	27	20901	233806	1.361842	0.177632	2181257	1969716
Node_439	1773	1100	673	64	67788	222954	1.634472	0.095097	2185968	2016227
Node_440	1696	1100	596	63	65938	252057	1.845638	0.105705	2102777	1928879
Node_441	1125	917	208	42	37912	360968	4.408654	0.201923	2086424	1828355
Node_442	763	472	291	33	29757	290159	1.621993	0.113402	2159478	1922338
Node_443	957	746	211	43	18874	360494	3.535545	0.203791	2090104	1809912
Node_444	1525	1123	402	61	58874	305305	2.793532	0.151741	2105722	1876242
Node_445	715	429	286	33	29880	249853	1.500000	0.115385	2179652	1992795
Node_446	1097	475	622	39	32340	195899	0.763666	0.062701	2188668	2017527
Node_447	684	272	412	24	25979	179646	0.660194	0.058252	2199449	2053502
Node_448	489	209	280	24	20927	152018	0.746429	0.085714	2216775	2084571
Node_449	813	405	408	35	32904	133390	0.992647	0.085784	2219449	2112394
Node_450	628	291	337	30	26634	107934	0.863501	0.089021	2222841	2167879
Node_451	1687	1114	573	62	69071	302828	1.944154	0.108202	2151297	1929249
Node_452	322	118	204	14	12781	234763	0.578431	0.068627	2165893	1956225
Node_453	697	355	342	35	52797	221653	1.038012	0.102339	2173135	1989337
Node_454	536	294	242	29	27428	192566	1.214876	0.119835	2177453	2045850
Node_455	287	150	137	17	24153	245979	1.094890	0.124088	2168570	1957768
Node_456	540	307	233	28	28278	219568	1.317597	0.120172	2176136	2000493
Node_457	503	274	229	21	13222	182025	1.196507	0.091703	2182188	2041069
Node_458	628	217	411	25	26057	147486	0.527981	0.060827	2192289	2058966
Node_459	738	362	376	29	19424	138899	0.962766	0.077128	2201507	2106889
Node_460	661	257	404	28	18305	98761	0.636139	0.069307	2205464	2130350
Node_461	237	167	70	12	7574	322905	2.385714	0.171429	2153287	1876377
Node_462	59	27	32	5	6768	288154	0.843750	0.156250	2163282	1887321
Node_463	233	141	92	17	7574	285086	1.532609	0.184783	2168543	1903582
Node_464	671	584	87	31	10698	400590	6.712644	0.356322	2165176	1824695
Node_465	224	182	42	13	2569	351912	4.333333	0.309524	2172286	1848593
Node_466	180	99	81	14	2569	333108	1.222222	0.172840	2178252	1857095
Node_467	218	155	63	15	7574	329826	2.460317	0.238095	2191484	1883333
Node_468	571	401	170	32	14407	394211	2.358824	0.188235	2170068	1822049
Node_469	750	592	158	31	15682	359577	3.746835	0.196203	2182783	1875356
Node_470	488	312	176	22	10700	316688	1.772727	0.125000	2201692	1935397
Node_471	163	68	95	10	7571	273349	0.715789	0.105263	2206786	1944421
Node_472	381	170	211	24	22135	267899	0.805687	0.113744	2207899	1970922
Node_473	395	254	141	20	17445	242159	1.801418	0.141844	2208373	1990901
Node_474	926	544	382	40	30536	221978	1.424084	0.104712	2210654	2050686
Node_475	1008	769	239	34	20063	360371	3.217573	0.142259	2162851	1863937
Node_476	490	335	155	26	21992	307156	2.161290	0.167742	2182700	1948109
Node_477	534	382	152	25	14509	379922	2.513158	0.164474	2173909	1841811
Node_478	179	127	52	9	6170	459353	2.442308	0.173077	2172303	1739051
Node_479	279	179	100	16	6170	446117	1.790000	0.160000	2183450	1764085
Node_480	91	58	33	10	6170	428329	1.757576	0.303030	2185828	1768555
Node_481	1303	1049	254	50	19399	426040	4.129921	0.196850	2189246	1840941
Node_482	204	147	57	18	11332	355550	2.578947	0.315789	2194068	1851813
Node_483	236	167	69	14	7936	349323	2.420290	0.202899	2196415	1862006
Node_484	591	443	148	33	25822	340178	2.993243	0.222973	2199562	1963184
Node_485	281	201	80	21	19373	241770	2.512500	0.262500	2205170	1981865
Node_486	744	479	265	33	24380	228404	1.807547	0.124528	2205426	2022332
Node_487	1722	1224	498	56	41774	301219	2.457831	0.112450	2175809	1956642
Node_488	514	337	177	26	20336	251841	1.903955	0.146893	2178536	1957006
Node_489	282	160	122	17	14048	226650	1.311475	0.139344	2196567	1985003
Node_490	508	362	146	25	20481	214480	2.479452	0.171233	2198460	2013609
Node_491	417	187	230	19	17955	187601	0.813043	0.082609	2211730	2049261
Node_492	945	427	518	35	27044	163852	0.824324	0.067568	2221013	2086706
Node_493	28	14	14	2	0	383486	1.000000	0.142857	2144342	1783909
Node_494	6	0	6	0	0	393556	0.000000	0.000000	2152803	1776253
Node_495	199	162	37	14	11113	393556	4.378378	0.378378	2155540	1786789
Node_496	70	39	31	4	0	385179	1.258065	0.129032	2171587	1803966
Node_497	484	368	116	18	20624	381780	3.172414	0.155172	2177057	1859421
Node_498	1562	1203	359	59	82368	328439	3.350975	0.164345	2186609	1929358
Node_499	226	142	84	15	17295	264731	1.690476	0.178571	2193262	1951861
Node_500	540	368	172	26	20114	248869	2.139535	0.151163	2198769	2018426
Node_501	1365	724	641	58	46726	183099	1.129485	0.090484	2201318	2067876
Node_502	944	398	546	40	27324	135373	0.728938	0.073260	2222559	2131203
Node_503	1816	897	919	64	55388	169838	0.976061	0.069641	2120281	2013226
Node_504	117	81	36	6	229	397586	2.250000	0.166667	2171415	1793762
Node_505	718	556	162	37	21889	391874	3.432099	0.228395	2178978	1859879
Node_506	139	72	67	10	7289	329238	1.074627	0.149254	2187769	1872140
Node_507	921	767	154	35	20166	387783	4.980519	0.227273	2112013	1802541
Node_508	514	335	179	26	16670	323983	1.871508	0.145251	2196049	1933502
